2590,1289,2554,1294,2572,1291,5,-36,2,26,1.79
2592,1264,2564,1267,2578,1265,3,-28,1,26,1.79
2563,1241,2535,1245,2549,1243,4,-28,2,36,2.01
2520,1217,2493,1224,2506,1220,7,-27,3,48,6.4
2522,1274,2493,1277,2507,1275,3,-29,6,46,25.09
2541,1321,2518,1313,2529,1317,-8,-23,5,46,25.09
2506,1352,2480,1347,2493,1349,-5,-26,15,47,22.77
2461,1309,2435,1299,2448,1304,-10,-26,7,63,10.15
2652,1267,2631,1286,2641,1276,19,-21,10,42,32.68
2690,1297,2666,1301,2678,1299,4,-24,11,33,34.93
2699,1336,2678,1326,2688,1331,-10,-21,10,33,34.93
2651,1366,2625,1351,2638,1358,-15,-26,17,49,23.76
2576,1377,2552,1366,2564,1371,-11,-24,14,35,15.74
2566,1415,2546,1398,2556,1406,-17,-20,13,35,15.74
2490,1393,2471,1397,2480,1395,4,-19,7,47,22.77
2669,1477,2644,1456,2656,1466,-21,-25,21,42,1.73
2698,1382,2676,1352,2687,1367,-30,-22,11,36,28.28
2547,1458,2522,1437,2534,1447,-21,-25,14,46,0.33
2494,1453,2467,1445,2480,1449,-8,-27,15,54,28.39
2429,1372,2404,1383,2416,1377,11,-25,15,66,11.86
2712,1487,2684,1462,2698,1474,-25,-28,16,42,1.73
2737,1433,2711,1411,2724,1422,-22,-26,21,58,1.52
